station_id,station_name,location,twd67_lat,twd67_lon,wgs84_api_lat,wgs84_api_lon,latitude_difference,longitude_difference,abs_lat_diff,abs_lon_diff,distance_km,temperature
C2V250,甲仙,高雄市甲仙區,23.081667,120.5825,23.080106,120.591758,-0.0015609999999988133,0.009258000000002653,0.0015609999999988133,0.009258000000002653,0.9628133899648347,19.5
C2M410,馬頭山,嘉義縣大埔鄉,23.326389,120.573611,23.324361,120.582017,-0.0020279999999992526,0.008405999999993696,0.0020279999999992526,0.008405999999993696,0.8874410176150895,19.9
CAAD80,國五N008K,新北市石碇區,24.985201,121.659868,24.982411,121.668089,-0.0027900000000009584,0.008220999999991818,0.0027900000000009584,0.008220999999991818,0.8847686001587379,13.6
C2A660,瑞芳,新北市瑞芳區,25.114861,121.792639,25.113169,121.801147,-0.0016920000000020252,0.008508000000006177,0.0016920000000020252,0.008508000000006177,0.8770298551401956,15.5
C2E540,龍溪,苗栗縣後龍鎮,24.608056,120.775556,24.606489,120.783933,-0.0015670000000014284,0.00837700000001007,0.0015670000000014284,0.00837700000001007,0.8646249010637816,15.5
C2A560,福山,新北市烏來區,24.778333,121.494583,24.776203,121.502811,-0.0021300000000010755,0.008227999999988356,0.0021300000000010755,0.008227999999988356,0.8637934619954948,12.9
C2A650,火燒寮,新北市平溪區,25.004411,121.734572,25.002719,121.742892,-0.0016920000000020252,0.008319999999997663,0.0016920000000020252,0.008319999999997663,0.859288715589932,12.9
C2G640,鹿港,彰化縣鹿港鎮,24.076944,120.422222,24.0753,120.430481,-0.0016440000000024213,0.008258999999995353,0.0016440000000024213,0.008258999999995353,0.8581620043110757,17.0
C2O950,安南,臺南市安南區,23.078333,120.136667,23.076694,120.144861,-0.0016390000000008342,0.008194000000003143,0.0016390000000008342,0.008194000000003143,0.8578021119996481,18.1
V2C260,八德蔬果,桃園市八德區,24.980279,121.27356,24.978508,121.281819,-0.0017709999999979686,0.008258999999995353,0.0017709999999979686,0.008258999999995353,0.8554307979822,15.4
