station_id,station_name,location,twd67_lat,twd67_lon,wgs84_api_lat,wgs84_api_lon,wgs84_transformed_lat1,wgs84_transformed_lon1,wgs84_transformed_lat2,wgs84_transformed_lon2,distance_original_km,distance_method1_km,distance_method2_km,temperature
466940,基隆,基隆市仁愛區,25.135104,121.732242,25.133314,121.740475,25.135104,121.732242,-0.0035591704371341253,118.82202468304042,0.8523523554154604,0.8523523554154604,2812.6520530469297,16.9
466900,淡水,新北市淡水區,25.166664,121.440672,25.164889,121.448906,25.166664,121.440672,-0.0035588851661696075,118.82202206561807,0.8518537871195706,0.8518537871195706,2812.8179473535124,15.3
466881,新北,新北市新店區,24.96099,121.516977,24.959207,121.525196,24.96099,121.516977,-0.0035607439587829206,118.82202275057594,0.8519437739333181,0.8519437739333181,2790.923430644406,15.3
466930,陽明山,臺北市北投區,25.163858,121.536313,25.162078,121.544547,25.163858,121.536313,-0.0035589105409096753,118.82202292418805,0.8520013372025751,0.8520013372025751,2813.558318823582,11.2
466910,鞍部,臺北市北投區,25.184365,121.521495,25.182586,121.529731,25.184365,121.521495,-0.003558725206349312,118.82202279116997,0.8520356815101336,0.8520356815101336,2815.6594524376014,9.3
467571,新竹,新竹縣竹北市,24.830335,121.006343,24.828575,121.01445,24.830335,121.006343,-0.0035619246715450094,118.82201816658738,0.8412094286955212,0.8412094286955212,2771.26911259932,16.0
467490,臺中,臺中市北區,24.147494,120.675919,24.145736,120.684075,24.147494,120.675919,-0.003568095798412351,118.82201520025748,0.8503274555496521,0.8503274555496521,2692.773905126211,17.8
C0FA30,梧棲,臺中市梧棲區,24.257753,120.515211,24.256003,120.523381,24.257753,120.515211,-0.003567099305869075,118.82201375759752,0.8508085300708267,0.8508085300708267,2703.766720651245,16.5
467350,澎湖,澎湖縣馬公市,23.56722,119.554987,23.565503,119.563094,23.56722,119.554987,-0.00357333984712093,118.82200513754424,0.8480442974947535,0.8480442974947535,2621.983095626727,19.1
467650,日月潭,南投縣魚池鄉,23.883099,120.899911,23.881325,120.90805,23.883099,120.899911,-0.0035704853064151745,118.82201721099388,0.8507136352122825,0.8507136352122825,2665.397864267183,16.4
467530,阿里山,嘉義縣阿里山鄉,23.509984,120.805129,23.508208,120.813242,23.509984,120.805129,-0.003573857320528021,118.82201636007474,0.8504903385071785,0.8504903385071785,2623.219712395688,7.5
467550,玉山,南投縣信義鄉,23.488964,120.951318,23.48718,120.95943,23.488964,120.951318,-0.0035740473126259767,118.82201767241177,0.850726511546567,0.850726511546567,2622.233023212264,0.2
